"id";"value";"lat";"lng";"patrol";"createdAt";"updatedAt"
"0027f739-cc7d-461d-aba6-3f101c42a5cd";"Толстого 64/1";-112.509;84.7031;"Центральный";"2020-09-30 15:35:11";"2020-09-30 15:35:11"
"00641b2d-e724-43ce-a677-6785d229ba2e";"Генерала Дюсенова, 3/1";-56.7901;58.724;"Северный";"2020-03-20 14:27:44";"2020-03-20 14:27:44"
"0073c345-6506-4799-ac50-0973d80198f9";"Сибирская, 7";-41.6495;164.583;"Северный";"2020-03-21 06:39:33";"2020-03-21 06:39:33"
"00825199-7ade-4dae-bf3f-be191a24161a";"Заслонова, 8";-44.462;158.615;"Северный";"2020-03-21 06:25:03";"2020-03-21 06:25:03"
"00cd8a12-524a-44b8-a922-f70948939edd";"Айманова, 38";-43.7589;24.1615;"Северный";"2020-03-20 04:34:42";"2020-03-20 04:34:42"
"01246df2-52c9-4ac0-8f1a-a177716eed5d";"Астана, 10/1";-64.0714;41.3333;"Северный";"2020-03-20 05:36:01";"2020-03-20 05:36:01"
"01ba70e3-d067-46b4-b269-a5d530fd097a";"Торайгырова, 30";-53.8526;43.7396;"Северный";"2020-03-20 11:05:28";"2020-03-20 11:05:28"
"01bd1ee4-8c38-4e57-9652-27e62236d5a8";"Якутская, 28";-45.5245;168.365;"Северный";"2020-03-23 05:59:29";"2020-03-23 05:59:29"
"01f9fe8f-e4ba-4d97-bcb5-02f2ea46d140";"Таллинская, 41";-39.7589;180.583;"Северный";"2020-03-23 09:34:29";"2020-03-23 09:34:29"
"024cb22f-ad8b-4a69-8a85-437e22c19f74";"Камзина, 4";-62.0089;117.755;"Северный";"2020-03-24 10:07:59";"2020-03-24 10:07:59"
"0303e716-44b7-4f97-9ee4-1f026a58aee0";"Горького 55";-125.168;82.5358;"Центральный";"2020-09-13 18:19:24";"2020-09-13 18:19:24"
"030cf6d3-7f34-439d-999f-b3d47c05e8bc";"Машхур Жусупа﻿, 286";-142.415;65.625;"Центральный";"2020-09-30 06:19:23";"2020-09-30 06:19:23"
"035836ff-61e6-4449-90a8-37fdd5f92c17";"Рябиновая 63";-132.743;111.953;"Южный";"2020-09-27 16:53:35";"2020-09-27 16:53:35"
"035d6818-a31a-447c-b440-e0802a19d898";"Литвинова, 1";-40.7589;161.661;"Северный";"2020-03-21 06:29:18";"2020-03-21 06:29:18"
"03798ce8-8bf7-42eb-b03e-29bd3700d073";"Нурмагамбетова, 36";-52.837;124.021;"Северный";"2020-03-21 05:06:37";"2020-03-21 05:06:37"
"0380285e-9f7d-45f3-afe9-9f88d120316e";"Сибирская, 12";-42.7432;164.115;"Северный";"2020-03-21 06:33:14";"2020-03-21 06:33:14"
"0395d8ce-4f8d-48da-893a-5aaad11a74a2";"Астана, 55";-72.8482;49.0339;"Северный";"2020-03-20 06:16:17";"2020-03-20 06:16:17"
"04097f4a-df22-4bb2-93b6-28d9ce66c9fa";"Литвинова, 10а";-42.2432;158.552;"Северный";"2020-03-21 06:28:34";"2020-03-21 06:28:34"
"04872d84-6328-4415-b2ed-f13a35b4456d";"Дальневосточная, 30";-36.7589;180.615;"Северный";"2020-03-23 09:47:36";"2020-03-23 09:47:36"
"04b39ab2-586c-473a-abb1-b9e762f56a89";"Дальневосточная, 42/2";-41.0089;181.583;"Северный";"2020-03-23 09:45:12";"2020-03-23 09:45:12"
"04b8b41f-0c88-469e-885c-7e40f0674fa7";"Одесская, 1";-44.9464;160.021;"Северный";"2020-03-21 05:49:06";"2020-03-21 05:49:06"
"04c78455-35d1-4d1e-a9fb-95c6cf695fc7";"Айманова, 9/1";-52.3995;19.3333;"Северный";"2020-03-20 04:16:06";"2020-03-20 04:16:06"
"04edede3-5e19-4e34-b7d5-6c7c5d174da7";"Сибирская, 16";-43.9888;164.401;"Северный";"2020-03-21 06:05:38";"2020-03-21 06:05:38"
"04f41ae4-4471-4e2e-8335-b06fbef74687";"Машхур Жусупа﻿, 21";-70.087;70.5469;"Центральный";"2020-09-30 10:40:13";"2020-09-30 10:40:13"
"054b166d-7d37-4616-8e4a-6992df33212a";"Привокзальная площадь, 1/1 к2";-48.5044;102.362;"Северный";"2020-03-21 04:47:35";"2020-03-21 04:47:35"
"05aefb6d-2691-4ee8-a86c-f735769c410a";"Пензенская, 12";-46.7154;161.276;"Северный";"2020-03-21 05:53:41";"2020-03-21 05:53:41"
"0604f682-592e-4a57-a3de-4c38c8672fee";"Алтайская, 22";-44.1182;169.677;"Северный";"2020-03-23 06:11:03";"2020-03-23 06:11:03"
"0613abff-84f9-438a-a2cc-b4f29bf3e2ce";"Мира, 56";-51.3214;72.1146;"Северный";"2020-03-21 03:19:13";"2020-03-21 03:19:13"
"064b25f2-0e6c-4186-97ac-7cfe8bf1be14";"Дерова, 1/1";-37.2388;187.651;"Северный";"2020-03-23 10:12:33";"2020-03-23 10:12:33"
"065589f1-1601-450a-b88b-dca9299981b3";"ткачева 10";-166.517;60.5148;"Южный";"2020-09-10 14:48:46";"2020-09-10 14:48:46"
"067071a6-db75-4e5a-a3bb-43f7830a4455";"Днепропетровская, 36";-46.712;172.177;"Северный";"2020-03-23 06:16:16";"2020-03-23 06:16:16"
"06aeaa4d-555c-43cd-8233-d0ac66bed66a";"Катаева, 85";-142.411;109.343;"Южный";"2020-09-15 04:00:37";"2020-09-15 04:00:37"
"071b97fa-45e5-4906-bc23-79c8ca8a58e8";"Дистанция пути, 7";-29.1807;180.755;"Северный";"2020-03-23 10:29:35";"2020-03-23 10:29:35"
"076bc491-6357-4ed6-83eb-a1a49ec67d7c";"Архангельская, 1/7";-32.3526;182.755;"Северный";"2020-03-23 10:31:22";"2020-03-23 10:31:22"
